#date,queriesUDP_IPV4,queriesTCP_IPv4,queriesTOTAL_IPv4,ratioTCP_IPv4,queriesUDP_IPV6,queriesTCP_IPv6,queriesTOTAL_IPv6,ratioTCP_IPv6
20160801,2415831035,168420878,2584251913,6.52,4467,72,4539,1.59
20160802,2493235721,174139430,2667375151,6.53,4393,80,4473,1.79
20160803,2496498284,178444623,2674942907,6.67,4490,82,4572,1.79
20160804,2478799237,169862929,2648662166,6.41,4465,83,4548,1.82
20160805,2340070630,161406548,2501477178,6.45,4516,79,4595,1.72
20160806,2127058095,146234036,2273292131,6.43,4433,72,4505,1.6
20160807,2110115471,146377103,2256492574,6.49,4428,72,4500,1.6
20160808,2434868237,155021943,2589890180,5.99,4400,72,4472,1.61
20160809,2421052956,159536086,2580589042,6.18,4230,72,4302,1.67
20160810,2401589990,149096373,2550686363,5.85,4536,72,4608,1.56
20160811,2468248051,155149002,2623397053,5.91,4305,72,4377,1.64
20160812,2359071739,153539939,2512611678,6.11,4353,75,4428,1.69
20160813,2106540218,136386837,2242927055,6.08,4352,72,4424,1.63
20160814,2088366352,139760244,2228126596,6.27,4434,72,4506,1.6
20160815,2137300272,146816675,2284116947,6.43,3287,72,3359,2.14
20160816,2350046977,160476805,2510523782,6.39,4330,72,4402,1.64
20160817,2834554654,187274662,3021829316,6.2,5412,79,5491,1.44
20160818,2611501209,173926683,2785427892,6.24,4723,66,4789,1.38
20160819,3140738696,208397503,3349136199,6.22,4269,97,4366,2.22
20160820,2417337360,161965055,2579302415,6.28,5138,81,5219,1.55
20160821,2159083178,142891782,2301974960,6.21,4602,72,4674,1.54
20160822,3036961010,194394605,3231355615,6.02,5074,99,5173,1.91
20160823,2630173066,171130699,2801303765,6.11,4428,76,4504,1.69
20160824,2086106554,127336441,2213442995,5.75,4147,73,4220,1.73
20160825,1759614593,107976096,1867590689,5.78,48883997,2762426,51646423,5.35
20160826,2830017549,182727331,3012744880,6.07,229874135,11898323,241772458,4.92
20160827,2212033196,142233040,2354266236,6.04,190232494,9796292,200028786,4.9
20160828,2175904333,146923151,2322827484,6.33,193332419,11346171,204678590,5.54
20160829,2426366162,161863970,2588230132,6.25,203124756,12688616,215813372,5.88
20160830,2503876508,168284978,2672161486,6.3,209634746,12821370,222456116,5.76
20160831,2588294319,175325069,2763619388,6.34,213091184,11570079,224661263,5.15
20160901,3187564803,220136939,3407701742,6.46,269915091,16169897,286084988,5.65
20160902,3323063737,233802044,3556865781,6.57,280527149,14487981,295015130,4.91
20160903,2948193900,203407423,3151601323,6.45,254339424,12359616,266699040,4.63
20160904,3278620016,244049376,3522669392,6.93,291215078,17150679,308365757,5.56
20160905,2587118973,188605678,2775724651,6.79,211610222,10686815,222297037,4.81
20160906,2576021537,182546325,2758567862,6.62,216249775,12242017,228491792,5.36
20160907,3221244362,226503626,3447747988,6.57,263576960,14872330,278449290,5.34
20160908,3198553068,232549373,3431102441,6.78,264638338,14784893,279423231,5.29
20160909,2672897178,188561053,2861458231,6.59,220441746,12922465,233364211,5.54
20160910,2750910315,202371824,2953282139,6.85,243303443,13628373,256931816,5.3
20160911,3026673722,211766434,3238440156,6.54,270255703,14322152,284577855,5.03
20160912,2982605905,215729674,3198335579,6.75,253213682,13057498,266271180,4.9
20160913,2777154147,199582588,2976736735,6.7,228136600,12229822,240366422,5.09
20160914,2673597500,196920794,2870518294,6.86,213588058,10598832,224186890,4.73
20160915,3138268290,260044218,3398312508,7.65,242651446,13339054,255990500,5.21
20160916,3034289706,245475358,3279765064,7.48,227656620,11639833,239296453,4.86
20160917,2395656185,182051837,2577708022,7.06,203344497,12005220,215349717,5.57
20160918,2229314378,158406070,2387720448,6.63,194375527,11725044,206100571,5.69
20160919,2529462602,171670460,2701133062,6.36,201815912,11606384,213422296,5.44
20160920,2504314559,176495942,2680810501,6.58,205431391,12217893,217649284,5.61
20160921,2448041270,171554549,2619595819,6.55,196181365,10286568,206467933,4.98
20160922,2507048643,169100094,2676148737,6.32,195340579,8861286,204201865,4.34
20160923,2464911350,166824202,2631735552,6.34,191622735,8233067,199855802,4.12
20160924,2316070629,153492386,2469563015,6.22,188745920,9665128,198411048,4.87
20160925,2605355206,160783912,2766139118,5.81,191823723,10155330,201979053,5.03
20160926,2753024170,169696747,2922720917,5.81,193968861,9566907,203535768,4.7
20160928,2845018121,180135023,3025153144,5.95,192988393,9658429,202646822,4.77
20160929,3414721346,244173345,3658894691,6.67,215915947,15411263,231327210,6.66
20161001,2698006135,212774797,2910780932,7.31,196140262,11005828,207146090,5.31
20161002,2442353062,197928392,2640281454,7.5,194030338,11036985,205067323,5.38
20161003,2669375089,202243569,2871618658,7.04,201786539,12167058,213953597,5.69
20161004,2647402892,200992197,2848395089,7.06,200858456,12054653,212913109,5.66
20161005,2436385707,185418621,2621804328,7.07,198452647,10671374,209124021,5.1
20161006,2478337610,207420487,2685758097,7.72,220211443,16597159,236808602,7.01
20161007,2760285804,267569432,3027855236,8.84,261819864,27196370,289016234,9.41
20161008,2239651555,178762369,2418413924,7.39,204643017,12869526,217512543,5.92
20161009,2183440483,170938758,2354379241,7.26,195412849,12014441,207427290,5.79
20161010,2341122445,181348351,2522470796,7.19,197906480,12128111,210034591,5.77
20161011,2443491352,185695183,2629186535,7.06,207739134,12642230,220381364,5.74
20161012,2706268710,206482718,2912751428,7.09,229309959,15930730,245240689,6.5
20161013,2736766926,207099682,2943866608,7.03,237818018,18725245,256543263,7.3
20161014,2667786427,213295659,2881082086,7.4,245608978,20422215,266031193,7.68
20161015,2440448843,197350065,2637798908,7.48,232107819,20795779,252903598,8.22
20161016,2478113643,197589851,2675703494,7.38,229223161,20006353,249229514,8.03
20161017,2774427351,212516544,2986943895,7.11,240194064,22764326,262958390,8.66
20161018,2707369763,207911015,2915280778,7.13,238576928,21970684,260547612,8.43
20161019,2712752564,209922927,2922675491,7.18,230383643,19776215,250159858,7.91
20161020,2701186232,211865944,2913052176,7.27,227798519,20004764,247803283,8.07
20161021,2698827335,205912761,2904740096,7.09,217995861,20591478,238587339,8.63
20161022,2556629456,197148174,2753777630,7.16,206407135,18978294,225385429,8.42
20161023,2411161304,186589354,2597750658,7.18,189739009,17231297,206970306,8.33
20161024,2754575551,221538938,2976114489,7.44,206765112,18467088,225232200,8.2
20161025,2731347133,234697445,2966044578,7.91,198188967,16354338,214543305,7.62
20161026,2758572771,236195445,2994768216,7.89,193322507,15114295,208436802,7.25
20161027,2809519094,252976809,3062495903,8.26,196269535,14908883,211178418,7.06
20161028,2753103472,258821500,3011924972,8.59,200725083,16681743,217406826,7.67
20161029,2298974180,214419116,2513393296,8.53,190881097,16415132,207296229,7.92
20161030,2402293540,236364634,2638658174,8.96,193693070,16633462,210326532,7.91
20161031,2683768863,256883683,2940652546,8.74,203962781,17698932,221661713,7.98
20161101,2765445227,250485747,3015930974,8.31,203723871,17163577,220887448,7.77
20161102,2540146496,235626916,2775773412,8.49,180429190,15714626,196143816,8.01
20161103,2865920098,261720816,3127640914,8.37,203698862,17273430,220972292,7.82
20161104,2904500289,266244173,3170744462,8.4,198346809,14839218,213186027,6.96
20161105,2564902021,243923641,2808825662,8.68,193521482,15003577,208525059,7.2
20161106,2542483094,243035659,2785518753,8.72,196915460,16191953,213107413,7.6
20161107,2813778825,261473006,3075251831,8.5,202510382,15867963,218378345,7.27
20161108,2891061118,275368693,3166429811,8.7,207635604,14573620,222209224,6.56
20161109,2908291270,272289731,3180581001,8.56,211654348,15314272,226968620,6.75
20161110,2849541577,249926121,3099467698,8.06,218611861,17152209,235764070,7.28
20161111,2706832486,239572959,2946405445,8.13,238899661,26781182,265680843,10.08
20161112,2449157663,223632510,2672790173,8.37,245359347,33143692,278503039,11.9
20161113,2518840914,234252189,2753093103,8.51,250808068,34021501,284829569,11.94
20161114,2729193259,238314832,2967508091,8.03,345908217,52250415,398158632,13.12
20161115,2750891364,267115017,3018006381,8.85,224595232,17645226,242240458,7.28
20161116,2762801734,249115812,3011917546,8.27,447072387,33462931,480535318,6.96
20161117,2785583895,238138765,3023722660,7.88,472704896,34411389,507116285,6.79
20161118,2703550753,243095787,2946646540,8.25,564256280,60627962,624884242,9.7
20161119,2495430486,238290464,2733720950,8.72,622137912,73367172,695505084,10.55
20161120,2464273282,233045073,2697318355,8.64,614107210,72531152,686638362,10.56
20161121,2706299535,246076686,2952376221,8.33,386143422,33154151,419297573,7.91
20161122,2770800436,246630555,3017430991,8.17,266289010,35972018,302261028,11.9
20161123,2833208652,259535410,3092744062,8.39,267568998,36301049,303870047,11.95
20161124,2818188773,246279344,3064468117,8.04,264933422,35827072,300760494,11.91
20161125,2883116810,253931278,3137048088,8.09,269636305,37796273,307432578,12.29
20161126,2517247752,247528033,2764775785,8.95,363166640,37663540,400830180,9.4
20161127,2571011581,264592643,2835604224,9.33,448042344,35522864,483565208,7.35
20161128,3011675291,285693308,3297368599,8.66,358707504,40770382,399477886,10.21
20161129,2829330837,251322758,3080653595,8.16,261276802,35982603,297259405,12.1
20161130,2750546877,241813819,2992360696,8.08,331247052,36015257,367262309,9.81
20161201,2855563773,268362881,3123926654,8.59,247094480,21029348,268123828,7.84
20161202,2809077909,249820229,3058898138,8.17,381536779,29549481,411086260,7.19
20161203,2526040764,234114887,2760155651,8.48,452836203,36400111,489236314,7.44
20161204,2457415957,234742444,2692158401,8.72,457169833,36936303,494106136,7.48
20161205,2793740103,261399558,3055139661,8.56,456429358,38126246,494555604,7.71
20161206,2834533588,269574546,3104108134,8.68,319307920,36062018,355369938,10.15
20161207,2720806919,258159680,2978966599,8.67,254081155,36826384,290907539,12.66
20161208,2576826444,247156633,2823983077,8.75,244614990,35545002,280159992,12.69
20161209,2800681879,260037268,3060719147,8.5,255249590,38669842,293919432,13.16
20161210,2774074106,260410724,3034484830,8.58,258261947,38446161,296708108,12.96
20161211,2739225422,260719473,2999944895,8.69,264966274,39090375,304056649,12.86
20161212,2999216681,286774765,3285991446,8.73,265209293,39905504,305114797,13.08
20161213,2860843623,275486657,3136330280,8.78,263732040,40245661,303977701,13.24
20161214,2848888254,270001963,3118890217,8.66,252739413,36757503,289496916,12.7
20161215,2675155766,261235292,2936391058,8.9,251921550,37021419,288942969,12.81
20161216,3670263922,347940852,4018204774,8.66,486941889,99816509,586758398,17.01
20161217,21123821537,2121173818,23244995355,9.13,4214652399,1095361610,5310014009,20.63
20161218,20512450728,2057765432,22570216160,9.12,4316961708,1124767581,5441729289,20.67
20161219,20857844059,2008714921,22866558980,8.78,3923746470,1024266278,4948012748,20.7
20161220,21583914597,2012374621,23596289218,8.53,3995095143,1048877156,5043972299,20.79
20161221,19997388222,1833668794,21831057016,8.4,2561517594,426919757,2988437351,14.29
20161222,16893461471,1548102067,18441563538,8.39,1737345375,108216808,1845562183,5.86
20161223,17046999571,1550402583,18597402154,8.34,1799752825,134624351,1934377176,6.96
20161224,16436848928,1570435296,18007284224,8.72,1806136435,126188991,1932325426,6.53
20161225,16447691300,1618286308,18065977608,8.96,1811191132,129210083,1940401215,6.66
20161226,16649401526,1629869112,18279270638,8.92,2128675209,300055295,2428730504,12.35
20161227,12401338987,1176159259,13577498246,8.66,1292542115,86575971,1379118086,6.28
20161228,77573087,8213489,85786576,9.57,1123973,86712,1210685,7.16
20161229,79784339,6923144,86707483,7.98,1099370,88571,1187941,7.46
20161230,77335643,7255532,84591175,8.58,931697,68825,1000522,6.88
20161231,1410162690,144314233,1554476923,9.28,129667070,9413904,139080974,6.77
20170101,2337771970,253724501,2591496471,9.79,214509930,17339139,231849069,7.48
20170102,2403193186,251864530,2655057716,9.49,210948607,15855175,226803782,6.99
20170103,2457580879,257817527,2715398406,9.49,213740622,16362494,230103116,7.11
20170104,2501620074,257762429,2759382503,9.34,212739145,15218295,227957440,6.68
20170105,2494131109,253914726,2748045835,9.24,207179084,14968841,222147925,6.74
20170106,2822229447,312294853,3134524300,9.96,222234711,18107978,240342689,7.53
20170107,2464339284,261514738,2725854022,9.59,215724642,16581896,232306538,7.14
20170108,2475135260,268097069,2743232329,9.77,217475095,15472344,232947439,6.64
20170109,3589080148,439005561,4028085709,10.9,273072073,26123897,299195970,8.73
20170110,3800017856,486343373,4286361229,11.35,280261161,27467209,307728370,8.93
20170111,2782355432,279713497,3062068929,9.13,233788456,18062378,251850834,7.17
20170112,2817082674,282216696,3099299370,9.11,225962096,16330081,242292177,6.74
20170113,2752853125,279294487,3032147612,9.21,226204070,17291776,243495846,7.1
20170114,2387345099,267431038,2654776137,10.07,227532319,18255265,245787584,7.43
20170115,2362817223,263861241,2626678464,10.05,226617600,17441768,244059368,7.15
20170116,2562294314,264116918,2826411232,9.34,230045310,18067396,248112706,7.28
20170117,2680668745,270578606,2951247351,9.17,233053608,17687801,250741409,7.05
20170118,2682521236,266406623,2948927859,9.03,235573287,17354296,252927583,6.86
20170119,2800932550,272017726,3072950276,8.85,234608941,19037310,253646251,7.51
20170120,2657648000,267411355,2925059355,9.14,235537897,19520710,255058607,7.65
20170121,2464820640,257340455,2722161095,9.45,229757681,17476718,247234399,7.07
20170122,2480220763,263268881,2743489644,9.6,228543476,18276085,246819561,7.4
20170123,2693261606,266982365,2960243971,9.02,234102569,17566947,251669516,6.98
20170124,2669555133,266044617,2935599750,9.06,237154696,19662810,256817506,7.66
20170125,2634887108,266917305,2901804413,9.2,242588058,20288319,262876377,7.72
20170126,2663714584,272933921,2936648505,9.29,241878782,19971014,261849796,7.63
20170127,2546542051,261127350,2807669401,9.3,232022983,16283849,248306832,6.56
20170128,2378109785,246161602,2624271387,9.38,234286665,17478337,251765002,6.94
20170129,2527993399,260815235,2788808634,9.35,234922746,18141143,253063889,7.17
20170130,2627039687,253227284,2880266971,8.79,232986337,17177463,250163800,6.87
20170131,2650880871,251596843,2902477714,8.67,232831889,16342684,249174573,6.56
20170201,2654422062,253682868,2908104930,8.72,245592164,19221059,264813223,7.26
20170202,1557843705,150079593,1707923298,8.79,138725599,11133189,149858788,7.43
20170203,1530959102,150855797,1681814899,8.97,128148030,9898630,138046660,7.17
20170204,1488663270,146553579,1635216849,8.96,111338483,8765596,120104079,7.3
20170205,1438707150,138647260,1577354410,8.79,118152325,9613765,127766090,7.52
20170206,1510217944,143241708,1653459652,8.66,126384481,9892966,136277447,7.26
20170207,1480408151,135766859,1616175010,8.4,119547944,9457162,129005106,7.33
20170208,1391370122,124026725,1515396847,8.18,119476607,8877507,128354114,6.92
20170209,1115077823,98831828,1213909651,8.14,102334095,8514345,110848440,7.68
20170210,1133799326,107388146,1241187472,8.65,128944012,14065944,143009956,9.84
20170211,1025429104,93506483,1118935587,8.36,116675621,8795796,125471417,7.01
20170212,1067127960,101861496,1168989456,8.71,124361075,9853859,134214934,7.34
20170213,1163213564,105019503,1268233067,8.28,122345995,9636978,131982973,7.3
20170214,1112224114,94092980,1206317094,7.8,118062546,10194587,128257133,7.95
20170215,1118903888,89523616,1208427504,7.41,113247969,9640542,122888511,7.84
20170216,1260215100,111562391,1371777491,8.13,125623441,10874817,136498258,7.97
20170217,1209696999,117462243,1327159242,8.85,121815748,11546077,133361825,8.66
20170218,1158010863,114133107,1272143970,8.97,125447207,12263088,137710295,8.9
20170219,1142328398,113016457,1255344855,9.0,124342983,11781785,136124768,8.66
20170220,1251737514,125516952,1377254466,9.11,121448735,12076914,133525649,9.04
20170221,1683334035,199035322,1882369357,10.57,136030287,14647040,150677327,9.72
20170222,1315458777,124404493,1439863270,8.64,125744123,12191318,137935441,8.84
20170223,1257180893,124365405,1381546298,9.0,109769366,10973078,120742444,9.09
20170224,1287127758,128077203,1415204961,9.05,108162752,10069639,118232391,8.52
20170225,1163794692,123815438,1287610130,9.62,120145200,11302850,131448050,8.6
20170226,1236236410,132786853,1369023263,9.7,128734046,12559847,141293893,8.89
20170227,1293642425,128778036,1422420461,9.05,127524813,12173387,139698200,8.71
20170228,1305213909,131428139,1436642048,9.15,125151098,12168489,137319587,8.86
20170301,1320698145,134404213,1455102358,9.24,136972386,18952496,155924882,12.15
20170302,1315137778,126766274,1441904052,8.79,139464659,19925745,159390404,12.5
20170303,1267024596,121035459,1388060055,8.72,144630393,20419669,165050062,12.37
20170304,1156457200,116125407,1272582607,9.13,143728782,19894670,163623452,12.16
20170305,81572728,6434942,88007670,7.31,311923,8653,320576,2.7
20170306,1474930324,171742890,1646673214,10.43,102402723,13957792,116360515,12.0
20170307,1875198690,177916871,2053115561,8.67,222298824,30737095,253035919,12.15
20170308,1368855454,131090525,1499945979,8.74,161091309,21070700,182162009,11.57
20170309,2630442897,239650939,2870093836,8.35,282460725,34067214,316527939,10.76
20170310,2640178925,241149747,2881328672,8.37,290632332,34745928,325378260,10.68
20170311,2530402820,229600062,2760002882,8.32,279720267,32893826,312614093,10.52
20170312,2564328008,256249469,2820577477,9.09,287374660,33240906,320615566,10.37
20170313,2668326450,247750242,2916076692,8.5,294493099,35393902,329887001,10.73
20170314,2686181212,246554908,2932736120,8.41,291011219,36723241,327734460,11.21
20170315,2449977790,231231767,2681209557,8.62,291891179,36584989,328476168,11.14
20170316,2420751167,224631998,2645383165,8.49,273813810,33755359,307569169,10.97
20170317,2544452716,255734835,2800187551,9.13,276174741,33449270,309624011,10.8
20170318,2220357918,221473051,2441830969,9.07,254396729,31369701,285766430,10.98
20170319,2238786879,219852831,2458639710,8.94,271398103,34242174,305640277,11.2
20170320,2671281049,250366694,2921647743,8.57,281681447,35925689,317607136,11.31
20170321,2482840866,240089300,2722930166,8.82,273693247,34847359,308540606,11.29
20170322,2519082506,241647060,2760729566,8.75,286116329,37825083,323941412,11.68
20170323,2602268852,248440310,2850709162,8.72,299971866,39825812,339797678,11.72
20170324,2684095323,249306681,2933402004,8.5,297013304,36120760,333134064,10.84
20170325,2519105586,240368060,2759473646,8.71,283339995,36094700,319434695,11.3
20170326,2236996381,219213444,2456209825,8.92,280149607,36348847,316498454,11.48
20170327,2471028791,240580871,2711609662,8.87,285110847,37345317,322456164,11.58
20170328,2575438938,229658687,2805097625,8.19,286443441,36797726,323241167,11.38
20170329,2527335038,235346427,2762681465,8.52,290907843,37397789,328305632,11.39
20170330,2514814136,243373494,2758187630,8.82,289803516,34284650,324088166,10.58
20170331,2403518692,233719742,2637238434,8.86,286372596,34418818,320791414,10.73
20170401,2167564853,201760409,2369325262,8.52,275672840,31750769,307423609,10.33
20170402,2154924991,202547600,2357472591,8.59,270231580,30975496,301207076,10.28
20170403,2440980637,226438144,2667418781,8.49,284109435,33666734,317776169,10.59
20170404,2553836939,244297981,2798134920,8.73,291651065,34370827,326021892,10.54
20170405,2377601127,232649470,2610250597,8.91,288697841,33780382,322478223,10.48
20170406,2293494351,222692402,2516186753,8.85,284481296,33342017,317823313,10.49
20170407,2263831485,214788538,2478620023,8.67,285278791,34084777,319363568,10.67
20170408,2081963771,203411861,2285375632,8.9,277153971,32115262,309269233,10.38
20170409,2054941230,198918444,2253859674,8.83,282271830,31904776,314176606,10.16
20170410,2169333592,201843932,2371177524,8.51,276463891,31476525,307940416,10.22
20170411,2206950273,191775650,2398725923,7.99,274209472,31278710,305488182,10.24
20170412,2169350596,195264044,2364614640,8.26,277141749,31309624,308451373,10.15
20170413,2274201486,205647283,2479848769,8.29,286304973,32216845,318521818,10.11
20170414,2178142643,201725861,2379868504,8.48,283922028,30925446,314847474,9.82
20170415,2019857001,193784376,2213641377,8.75,274392246,28934517,303326763,9.54
20170416,2033756334,197154790,2230911124,8.84,270957452,28579247,299536699,9.54
20170417,2241197812,218391288,2459589100,8.88,279304296,30621789,309926085,9.88
20170418,2195229844,201345510,2396575354,8.4,280046425,28972969,309019394,9.38
20170419,2185271798,197712666,2382984464,8.3,274192995,26947716,301140711,8.95
20170420,2218725100,196525958,2415251058,8.14,250187846,15180935,265368781,5.72
20170421,2106789829,183265755,2290055584,8.0,248626191,15944487,264570678,6.03
20170422,1908128162,167925235,2076053397,8.09,240874307,15314402,256188709,5.98
20170423,1892932208,167817409,2060749617,8.14,249836393,16463431,266299824,6.18
20170424,2163200136,188726422,2351926558,8.02,252343493,15996418,268339911,5.96
20170425,2614288916,258224315,2872513231,8.99,277301684,19717103,297018787,6.64
20170426,2188821989,196624619,2385446608,8.24,257332934,16994402,274327336,6.19
20170427,2140081914,183627545,2323709459,7.9,258903153,15702323,274605476,5.72
20170428,2192757340,178977795,2371735135,7.55,266011948,16897077,282909025,5.97
20170429,2352548157,196044851,2548593008,7.69,258537273,18013797,276551070,6.51
20170430,2211752870,187929336,2399682206,7.83,259868704,18332764,278201468,6.59
20170501,2300822878,205101281,2505924159,8.18,269631805,18539661,288171466,6.43
20170502,2219640838,193974550,2413615388,8.04,265741388,17443536,283184924,6.16
20170503,2430809892,207119613,2637929505,7.85,281336230,19689359,301025589,6.54
20170504,2344124050,199072707,2543196757,7.83,275556001,18562069,294118070,6.31
20170505,2261113646,182521290,2443634936,7.47,262136307,15756313,277892620,5.67
20170506,1975982304,171446818,2147429122,7.98,257436917,16133500,273570417,5.9
20170507,1800100622,158348144,1958448766,8.09,248000717,15431927,263432644,5.86
20170508,2187021732,182622051,2369643783,7.71,255149579,15496090,270645669,5.73
20170509,2227625867,188175702,2415801569,7.79,259337541,15645414,274982955,5.69
20170510,2135434120,191037838,2326471958,8.21,265584477,15931724,281516201,5.66
